"",,,1АС1,,1ИС1,,1ИС2,,1ОС1,,1С1,,1Э1,,,,,,,,,,,,,
"",,,1,Разговоры о важном,25,,1,Разговоры о важном,40,,1,Разговоры о важном,20,,1,Разговоры о важном,309,,1,Литература,31,,1,Разговоры о важном,30,
"",,,2,Литература,31,,2,Информатика,35,,2,Физика,202,,2,Физика,309,,2,Математика,26,,2,Литература,б/к,
"",,,3,Математика,21,,3,Литература,31,,3,Информатика,35,,3,История,28,,3,Физика,202,,3,Математика,26,
"",,,4,Астрономия,21,,4,Физика,202,,4,Физ.Культур,с/з,,4,Математика,26,,4,История,28,,4,Родная лит-ра,б/к,
"",,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,
"",,,1,Математика,21,,1,Математика,25,,1,Ин.Язык,30,,1,Ин.Язык,20,,1,Литература,31,,1,Русский язык,б/к,
"",,,2,Информатика,35,,2,Физика,202,,2,История,28,,2,Литература,31,,2,Ин.Язык,20,,2,ОБЖ,206,
"",,,3,Математика,21,,3,История,28,,3,Литература,31,,3,ОБЖ,206,,3,Физика,202,,3,Математика,26,
"",,,4,,,,4,Физ.Культур,с/з,,4,Физика,202,,4,Физика,309,,4,ОБЖ,206,,4,Астрономия,21,
"",,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,
"",,,1,Математика,21,,1,Математика,25,,1,Литература,31,,1,Математика,26,,1,Физика,202,,1,Литература,б/к,
"",,,2,Физика,309,,2,Литература,31,,2,Физика,202,,2,Информатика,35,,2,Математика,26,,2,Ин.Язык,30,
"",,,3,Литература,31,,3,Астрономия,21,,3,ОБЖ,206,,3,Физика,309,,3,Физ.Культур,с/з,,3,Математика,26,
"",,,4,ОБЖ,206,,4,Физика,202,,4,Ин.Язык,30,,4,Астрономия,21,,4,,,,4,Информатика,35,
"",,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,
"",,,1,Математика,21,,1,ОБЖ,б/к,,1,Математика,25,,1,Литература,31,,1,История,28,,1,Физ.Культур,с/з,
"",,,2,Ин.Язык,30,,2,Физика,202,,2,Информатика,35,,2,История,28,,2,Литература,31,,2,Литература,б/к,
"",,,3,Литература,31,,3,Ин.Язык,30,,3,Астрономия,21,,3,ОБЖ,206,,3,Физика,202,,3,История,28,
"",,,4,Родная лит-ра,31,,4,,,,4,Физика,202,,4,,,,4,,,,4,Родная лит-ра,б/к,
"",,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,
"",,,1,Физика,309,,1,Литература,31,,1,Математика,25,,1,Математика,26,,1,ОБЖ,206,,1,История,28,
"",,,2,ОБЖ,206,,2,Информатика,35,,2,Литература,31,,2,Физика,309,,2,Математика,26,,2,Русский язык,б/к,
"",,,3,История,28,,3,ОБЖ,б/к,,3,ОБЖ,206,,3,Литература,31,,3,Астрономия,21,,3,Математика,26,
"",,,4,,,,4,,,,4,,,,4,,,,4,Литература,31,,4,,,
"",,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,
"",,,1,Ин.Язык,30,,1,Литература,31,,1,История,28,,1,Ин.Язык,20,,1,Математика,26,,1,Русский язык,б/к,
"",,,2,История,28,,2,Ин.Язык,30,,2,Литература,31,,2,Математика,26,,2,Ин.Язык,20,,2,Литература,б/к,
"",,,3,Литература,31,,3,История,28,,3,,,,3,Физ.Культур,с/з,,3,,,,3,,,
"",,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,
"",,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,
