"",2АС1,2ИС1,2ИС2,2ОС1,2С1,2Э1,,,,,,,,,,,,
"",1,ОснФилософ,28,1,РПМ,44,1,,,1,ЭСА,310,1,Материаловед,102,1,,а/з
"",2,ЭиЭ,301,2,ОАиП,44,2,,,2,ОЭиЭ,206,2,ИТПД,306,2,"военные сборыв рамках курса",а/з
"",3,ИТПД(ДЗ),306,3,ТРиЗД,45,3,РПМ,44,3,,,3,ТОЭЭССиСОиМ,201,3,с/з,
"",4,,,4,,,4,ТРиЗД,45,4,,,4,ТОЭЭССиСОЭиА,201,4,БЖД,с/з
"",5,,,5,,,5,,,5,,,5,,,5,,
"",1,Теплотехника,210,1,ТРиЗД,45,1,ОАиП,44,1,Инж.Граф,306,1,ТОЭЭССиСОиМ,201,1,,а/з
"",2,ЭиЭ,301,2,ВиПКС,45,2,Инф.Технолог,306,2,АЭСиТО,210,2,ТОЭЭССиСОЭиА,201,2,"военные сборыв рамках курса",а/з
"",3,,,3,Инф.Технолог,306,3,ТРиЗД,45,3,ИЯПД,20,3,,,3,а/з,
"",4,,,4,,,4,ВиПКС,45,4,,,4,,,4,БЖД,а/з
"",5,,,5,,,5,,,5,,,5,,,5,,
"",1,Инж.Граф,306,1,ОАиП,44,1,,,1,,,1,Материаловед,102,1,,
"",2,Яд физика,210,2,РПМ,44,2,ТРиЗД,45,2,,,2,ЭиЭ,301,2,военные сборы в,а/з
"",3,Яд физика,210,3,ТРиЗД,45,3,РПМ,44,3,ЭСА,310,3,ТОЭЭССиСОиМ,201,3,с/з,
"",4,Яд физика,210,4,,,4,ОАиП,44,4,Инж.Граф,306,4,,,4,БЖД,с/з
"",5,,,5,,,5,,,5,,,5,,,5,,
"",1,,,1,ИнфТехн,44,1,ВиПКС,45,1,АЭСиТО,210,1,,,1,,шк7
"",2,ЭиЭ,301,2,ОАиП,44,2,ТРиЗД,45,2,АЭСиТО,210,2,Материаловед,102,2,,шк7
"",3,Теплотехника,210,3,,,3,РПМ,44,3,ОЭиЭ,206,3,,,3,в рамках курса,шк7
"",4,,,4,,,4,,,4,,,4,,,4,БЖД,шк7
"",5,,,5,,,5,,,5,,,5,,,5,,
"",1,ОснФилософ,с/р,1,ВиПКС,45,1,Инф.Технолог,44,1,ЭСА,310,1,ЭОП,с/р,1,,а/з
"",2,ИЯПД,с/р,2,ТРиЗД,45,2,ОАиП,44,2,ОЭиЭ,206,2,Инж.Граф,с/р,2,"военные сборы врамках курса БЖД",с/з
"",3,,,3,РПМ,44,3,,45,3,,,3,,,3,а/з,
"",4,,,4,,,4,,,4,,,4,,,4,,
"",5,,,5,,,5,,,5,,,5,,,5,,
"",1,ЭОП,с/р,1,ИнфТехн,с/р,1,ИнфТехн,с/р,1,Инж.Граф,с/р,1,ЭиЭ,с/р,1,Псих.общ,с/р
"",2,Инж.Граф,с/р,2,ОАиП,с/р,2,ОАиП,с/р,2,ТРМЭСАФПТД,с/р,2,Материаловед,с/р,2,ИТПД,с/р
"",3,,,3,РПМ,с/р,3,РПМ,с/р,3,,,3,,,3,,
"",4,,,4,,,4,,,4,,,4,,,4,,
"",5,,,5,,,5,,,5,,,5,,,5,,
