"",4А1,,4П1,,4ПИ1,,4С1
1,,1,,1,,1,
2,,2,,2,,2,
"",Подготовка к государственной,,Подготовка к государственной,,Подготовка к государственной,,Государственная итоговая
3,,3,,3,,3,
"",(итоговой) аттестации,,(итоговой) аттестации,,(итоговой) аттестации,,аттестация
4,,4,,4,,4,
5,,5,,5,,5,
1,,1,,1,,1,
2,,2,,2,,2,
"",Подготовка к государственной,,Подготовка к государственной,,Подготовка к государственной,,Государственная итоговая
3,,3,,3,,3,
"",(итоговой) аттестации,,(итоговой) аттестации,,(итоговой) аттестации,,аттестация
4,,4,,4,,4,
5,,5,,5,,5,
1,,1,,1,,1,
2,,2,,2,,2,
"",Подготовка к государственной,,Подготовка к государственной,,Подготовка к государственной,,Государственная итоговая
3,,3,,3,,3,
"",(итоговой) аттестации,,(итоговой) аттестации,,(итоговой) аттестации,,аттестация
4,,4,,4,,4,
5,,5,,5,,5,
1,,1,,1,,1,
2,,2,,2,,2,
"",Подготовка к государственной,,Подготовка к государственной,,Подготовка к государственной,,Государственная итоговая
3,,3,,3,,3,
"",(итоговой) аттестации,,(итоговой) аттестации,,(итоговой) аттестации,,аттестация
4,,4,,4,,4,
5,,5,,5,,5,
1,,1,,1,,1,
2,,2,,2,,2,
"",Подготовка к государственной,,Подготовка к государственной,,Подготовка к государственной,,Государственная итоговая
3,,3,,3,,3,
"",(итоговой) аттестации,,(итоговой) аттестации,,(итоговой) аттестации,,аттестация
4,,4,,4,,4,
5,,5,,5,,5,
1,,1,,1,,1,
2,,2,,2,,2,
"",Подготовка к государственной,,Подготовка к государственной,,Подготовка к государственной,,Государственная итоговая
3,,3,,3,,3,
"",(итоговой) аттестации,,(итоговой) аттестации,,(итоговой) аттестации,,аттестация
4,,4,,4,,4,
5,,5,,5,,5,
